,Employee_id,Manager_id,name,dob,dept
132,132,129,"Farley, Thatcher",1941-11-18,Administration
133,133,7,"Distler, Cornelia",1923-11-12,Animal Services
134,134,75,"Gottschling, Roxane",1922-11-21,Concurrency Management
135,135,79,"Hewitt, Cobb",1930-01-26,Metro Police Recruiting
136,136,80,"Mies, Dido",1923-10-08,Soil & Water Conservation District
137,137,71,"Jochum, Vito",1971-06-11,Development
138,138,35,"Waller, Fabian",1969-05-14,Economic Development
139,139,59,"Trautmann, Dionis",1944-05-15,Criminal Justice Commission
140,140,19,"Matthiesen, Midge",1974-02-06,MetroFest
141,141,24,"Seelig, Meridith",1990-04-06,Revenue Commission
142,142,128,"Weinberg, Karen",1944-04-10,Environmental Services
143,143,112,"Wecker, Bobette",1960-04-10,MetroTV
144,144,140,"Blevins, Karly",1986-10-17,Public Transportation
145,145,50,"Stier, Innis",1997-10-03,Procurement Services
146,146,94,"Selle, Reed",1996-04-02,Special Assessments
147,147,142,"Wilkerson, Jayson",1944-03-20,Internal Audit
148,148,48,"Döring, Minerva",1979-01-10,Neighborhood Stabilization Program: Plan 1
149,149,76,"Rösler, Pet",1960-10-08,Codes & Regulations
150,150,131,"Welch, Serge",1990-07-25,Development
151,151,12,"Doyle, Ali",1993-05-24,MetroFest
152,152,58,"Göller, Anetta",1948-11-02,Metro Police Recruiting
153,153,84,"Schaffer, Agata",2002-06-17,Solid Waste Operations
154,154,73,"Quandt, Farris",1989-08-06,Animal Services
155,155,35,"Bahr, Merna",1987-06-15,Emergency Management
156,156,38,"Falkenberg, Krysta",1928-07-17,Corrections
157,157,111,"Michel, Renato",1968-04-15,Animal Services
158,158,113,"Göpfert, Artur",1955-09-12,Concurrency Management
159,159,46,"Bolz, Farah",1982-10-27,Economic Development
160,160,140,"Davis, Tucker",1978-01-07,Mobile Irrigation Lab
161,161,99,"Hörl, Meredith",1963-02-10,Human Relations
162,162,77,"Mattern, Emiline",1965-05-01,Human Resources
163,163,109,"Brady, Ingamar",2000-07-09,Codes & Regulations
164,164,44,"Lehr, Samuel",1992-09-22,Performance Improvement
165,165,115,"Jünger, Ganny",1939-08-04,Tourism
166,166,131,"Dreier, Gerald",1987-01-05,External Agency Fund
167,167,122,"Weaver, Ansell",1980-09-12,Telecommunications
168,168,131,"Guerra, Frasquito",1963-10-17,Fleet Management
169,169,65,"De, Sidonnie",1979-10-25,External Agency Fund
170,170,121,"Flemming, Meggy",1973-02-19,Elder Affairs
171,171,83,"Hennemann, Angeline",2002-10-20,MetroTV
172,172,36,"Gerke, Alexander",1984-03-14,Emergency Management
173,173,83,"Johns, Ambrosius",1946-03-25,Procurement Services
174,174,72,"Ebeling, Allistir",1986-10-27,MetroCall 311
175,175,15,"Roach, Leonelle",1947-05-04,Fleet Management
176,176,16,"Griese, Pammy",1926-05-23,Public Transportation
177,177,82,"Sondermann, Sergeant",1940-05-05,Neighborhood Place
178,178,108,"Gibson, Raleigh",1962-05-05,Office For Women
179,179,17,"Buchanan, Roth",1992-06-22,NIA Center
180,180,158,"Harnisch, Allene",1953-09-16,Volunteer Program
181,181,170,"Schwartz, Shelba",1936-03-06,Office For Women
182,182,56,"Chaney, Liane",1967-08-14,LouisvilleWater.com
183,183,49,"Maxwell, Ingeberg",1963-01-04,Criminal Justice Commission
184,184,15,"Hubert, Ozzie",2000-10-04,Animal Services
185,185,183,"Krahn, Caitrin",1966-03-27,Children's Services Council
186,186,154,"Haberkorn, Nadean",1993-10-11,Environmental Services
187,187,114,"Jakob, Heath",1956-01-15,Metro Council
188,188,93,"Ehlert, Andy",1990-09-03,Economic Growth and Innovation
189,189,56,"Arnold, Jenni",1990-05-06,Library Services
190,190,157,"Schrade, Margot",1995-03-13,Communications Technologies
191,191,67,"Koll, Cloris",1968-09-11,Public Resources
192,192,38,"Mainka, Bren",1992-06-27,Mayor Greg Fischer
193,193,127,"House, Debbi",1994-07-13,Facilities Management
194,194,135,"Odom, Pascale",1945-01-05,Concurrency Management
195,195,68,"Buchmann, Rutherford",1929-11-10,Solid Waste
196,196,57,"Kretz, Randee",1924-05-17,MetroTV
197,197,185,"Bruder, Lamar",1965-07-08,Mobile Irrigation Lab
198,198,38,"Hüttner, Nana",1951-01-13,Metro Parks
199,199,58,"Katz, Carmita",1961-06-17,Hazardous Waste & E-Cycling
200,200,140,"Schneider, Shalne",1922-05-25,Sustainability
201,201,97,"Rohrbach, Germayne",1950-05-22,Communications Technologies
202,202,81,"Großmann, Britteny",2002-10-15,Metro Council
203,203,160,"Keith, Gardner",1960-01-04,NIA Center
204,204,182,"Kirstein, Maryl",1986-05-07,EMS
205,205,171,"Petzold, Aloysius",1949-11-14,Public Transportation
206,206,118,"Wolfe, Pete",1998-07-19,Animal Services
207,207,87,"Herget, Nicolai",1942-10-13,Housing Services
208,208,146,"Brauner, Cherri",1966-07-22,Housing Services
209,209,63,"Thielen, Saleem",1952-02-10,Growth Management
210,210,198,"Böhringer, Zak",1994-07-02,Management & Budget
211,211,156,"Lambert, Elvyn",1992-07-09,Metro Police Recruiting
212,212,57,"Bertsch, Hervey",1993-05-04,County Manager
213,213,28,"Stockmann, Rube",1957-06-13,Development Processing
214,214,56,"Mengel, Ave",1996-03-05,Public Transportation
215,215,76,"Eggert, Dasha",1992-01-09,Public Lands Management
216,216,177,"Kuhnt, Laura",1936-02-18,Water Quality Lab
217,217,115,"Walz, Andrea",1924-09-18,Bike Louisville
218,218,179,"Adolph, Janek",1989-08-05,Administration
219,219,95,"Sandner, Lucretia",1967-02-13,Parking Authority (PARC)
220,220,158,"Steinkamp, Flint",1970-08-11,Stormwater Management
221,221,133,"Beckmann, Rick",1970-02-01,Hazardous Waste & E-Cycling
222,222,24,"Linn, Charleen",1927-02-16,Conservation & Compliance
223,223,204,"Egner, Rachele",1935-03-25,Code Enforcement
224,224,164,"Pätzold, Jerri",2001-09-13,NIA Center
225,225,68,"Sander, Maddy",1933-06-15,EMS
226,226,222,"Brock, Norine",1955-05-25,Solid Waste Operations
227,227,62,"Dahl, Jamison",1960-02-09,Coroner
228,228,16,"Hübner, Ham",1929-06-08,Human Relations
229,229,72,"Löwen, Elton",1926-07-17,MetroFest
230,230,159,"Jauch, Gaston",2002-04-10,Facilities & Fleet Management
231,231,215,"Niemann, Miltie",1998-01-24,Solid Waste Operations
232,232,79,"Hoff, Crawford",1998-06-19,Corrections
233,233,12,"Biermann, Kettie",1946-03-12,Facilities Management
234,234,223,"Kegel, Lon",1978-03-03,Special Assessments
235,235,3,"Blechschmidt, Ringo",1986-11-17,Facilities & Fleet Management
236,236,158,"Wilke, Ddene",1945-03-02,Volunteer Program
237,237,180,"Compton, Cy",1921-05-08,Procurement Services
238,238,189,"Eckl, Allayne",2000-08-19,Emergency Management
239,239,121,"Schnieders, Isabelita",1977-05-10,Veterans Services
240,240,130,"Deckert, Stanton",1981-08-25,Engineering
241,241,198,"Zellner, Kerk",1926-02-22,Metro Parks
242,242,11,"Heinemann, Margit",1922-04-11,EMS
243,243,152,"Karger, Ursula",1967-09-08,Budget
244,244,31,"Kunert, Babbette",1948-06-15,Community Services
245,245,88,"Contreras, Peyter",1960-03-08,Health & Human Services
246,246,100,"Goodman, Rodge",1977-06-12,Ethics Commission
247,247,141,"Steck, Ethe",1940-10-20,Emergency Management
248,248,76,"Pearson, Cly",1975-01-22,MetroTV
249,249,151,"Heinecke, Jeremias",1960-09-20,Internal Audit
